id,name,last_name
1,John,Adams
2,Samuel,Adams
3,Gunning,Bedford
4,,"Boston Selectmen"
5,Nicholas,Cooke
6,Thomas,Cushing
7,Committee,"Frederick County, Maryland"
8,Elbridge,Gerry
9,"Dorothy (Quincy)",Hancock
10,John,Hancock
11,"Mary (Sister)",Hancock
12,John,Hulbert
13,Samuel,Langdon
14,,"Livery of London"
15,"Peter Van Brugh",Livingston
16,Walter,Livingston
17,"William Alexander","Lord Stirling"
18,,"Massachusetts Assembly"
19,,"Massachusetts Committee of Safety"
20,,"Massachusetts Council"
21,,"Massachusetts Provincial Congress"
22,Richard,Montgomery
23,Lewis,Morris
24,,"New Hampshire Provincial Congress"
25,,"New Jersey Provincial Congress"
26,,"New York Committee of Safety"
27,,"New York Provincial Congress"
28,"Robert Treat",Paine
29,William,Palfrey
30,Richard,Penn
31,Joseph,Reed
32,Philip,Schuyler
33,John,Thomas
34,Jonathan,"Trumbull Jr."
35,"Jonathan (Governor)",Trumbull
36,George,Washington
37,John,Wells
38,James,Wilson
39,Nathaniel,Woodhull
